"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"BNR","BULLETIN RESOURCES LIMITED","Materials","20/12/2010",20257786
"BNZ","BENZ MINING CORP.","Materials","23/12/2020",54504446
"BOA","BOADICEA RESOURCES LIMITED","Materials","11/10/2012",5758425
"BOC","BOUGAINVILLE COPPER LIMITED","Materials","31/12/1970",156414375
"BOD","BOD SCIENCE LIMITED","Consumer Discretionary Distribution & Retail","27/10/2016",8115439
"BOE","BOSS ENERGY LTD","Energy","25/07/2007",994272391
"BOL","BOOM LOGISTICS LIMITED","Capital Goods","14/10/2003",51332905
"BOQ","BANK OF QUEENSLAND LIMITED.","Banks","24/08/1971",3732214257
"BOT","BOTANIX PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","24/01/1985",110189908
"BPH","BPH ENERGY LTD","Financial Services","06/08/2004",21395416
"BPM","BPM MINERALS LIMITED","Materials","30/12/2020",4684027
"BPP","BABYLON PUMP & POWER LIMITED","Capital Goods","13/12/1996",12288857
"BPT","BEACH ENERGY LIMITED","Energy","30/06/1972",3136833777
"BRB","BREAKER RESOURCES NL","Materials","20/04/2012",163119484
"BRG","BREVILLE GROUP LIMITED","Consumer Durables & Apparel","25/05/1999",2951290815
"BRI","BIG RIVER INDUSTRIES LIMITED","Materials","01/05/2017",202556285
"BRK","BROOKSIDE ENERGY LIMITED","Energy","31/10/2005",80232730
"BRL","BATHURST RESOURCES LIMITED.","Materials","21/06/2013",185618987
"BRN","BRAINCHIP HOLDINGS LTD","Software & Services","09/11/2011",830517328
"BRU","BURU ENERGY LIMITED","Energy","01/09/2008",59604309
"BRX","BELARAROX LIMITED","Materials","28/01/2022",22202708
"BSA","BSA LIMITED","Commercial & Professional Services","15/11/1999",44335568
"BSE","BASE RESOURCES LIMITED","Materials","02/10/2008",212042133
"BSL","BLUESCOPE STEEL LIMITED","Materials","15/07/2002",8908730258
"BSN","BASIN ENERGY LIMITED","Energy","04/10/2022",8122970
"BST","BEST & LESS GROUP HOLDINGS LTD","Consumer Discretionary Distribution & Retail","26/07/2021",233809324
"BSX","BLACKSTONE MINERALS LIMITED","Materials","23/01/2017",71053336
"BTC","BTC HEALTH LTD","Not Applic","29/08/2000",4791388
"BTE","BOTALA ENERGY LTD","Energy","14/07/2022",19066543
"BTH","BIGTINCAN HOLDINGS LIMITED","Software & Services","24/03/2017",303626545
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","Financial Services","21/11/2014",161529147
"BTN","BUTN LIMITED","Financial Services","06/07/2021",40092614
"BTR","BRIGHTSTAR RESOURCES LIMITED","Materials","05/12/2003",12489432
"BTRN","BRIGHTSTAR RESOURCES LIMITED","Materials","05/12/2003",
"BUB","BUBS AUSTRALIA LIMITED","Food, Beverage & Tobacco","05/10/1993",150271482
"BUD","BUDDY TECHNOLOGIES LTD","Consumer Durables & Apparel","18/12/2006","SUSPENDED"
"BUR","BURLEY MINERALS LTD","Materials","07/07/2021",26427392
"BUS","BUBALUS RESOURCES LIMITED","Materials","13/10/2022",4880954
"BUX","BUXTON RESOURCES LIMITED","Materials","23/10/2007",29117357
"BUY","BOUNTY OIL & GAS NL","Energy","05/02/2002",10964008
"BVR","BELLAVISTA RESOURCES LTD","Materials","25/05/2022",12029515
"BVS","BRAVURA SOLUTIONS LIMITED.","Software & Services","16/11/2016",204001071
"BWF","BLACKWALL LIMITED","Financial Services","21/10/2011",38126334
"BWP","BWP TRUST","Equity Real Estate Investment Trusts (REITs)","16/09/1998",2415363099
"BWX","BWX LIMITED","Household & Personal Products","11/11/2015","SUSPENDED"
"BXB","BRAMBLES LIMITED","Commercial & Professional Services","27/11/2006",20116457520
"BXN","BIOXYNE LIMITED","Household & Personal Products","14/12/2000",16641135
"BYE","BYRON ENERGY LIMITED","Energy","03/06/2005",94081374
"BYH","BRYAH RESOURCES LIMITED","Materials","17/10/2017",4781309
"BYHN","BRYAH RESOURCES LIMITED","Materials","17/10/2017",4781309
"C1X","COSMOS EXPLORATION LIMITED","Materials","01/12/2021",23969000
"C29","C29 METALS LIMITED","Materials","03/11/2021",4414889
"C6C","COPPER MOUNTAIN MINING CORPORATION","Materials","06/04/2018",552358927
"C79","CHRYSOS CORPORATION LIMITED","Commercial & Professional Services","06/05/2022",444989765
"C7A","CLARA RESOURCES AUSTRALIA LTD","Materials","21/10/2010",15383454
"CAA","CAPRAL LIMITED","Materials","20/11/1986",131589771
"CAE","CANNINDAH RESOURCES LIMITED","Materials","20/05/2005",92726692
"CAF","CENTREPOINT ALLIANCE LIMITED","Financial Services","25/06/2002",42329606
"CAG","CAPE RANGE LTD","Software & Services","30/11/2017",8541747
"CAI","CALIDUS RESOURCES LIMITED","Materials","13/03/1987",98886207
"CAJ","CAPITOL HEALTH LIMITED","Health Care Equipment & Services","09/06/2006",319056761
"CAM","CLIME CAPITAL LIMITED","Not Applic","03/02/2004",117243465
"CAN","CANN GROUP LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/05/2017",69950676
"CAQ","CAQ HOLDINGS LIMITED","Real Estate Management & Development","25/07/2005",8613435
"CAR","CARSALES.COM LIMITED.","Media & Entertainment","10/09/2009",8936092077
"CAT","CATAPULT GROUP INTERNATIONAL LTD","Technology Hardware & Equipment","19/12/2014",179382545
"CAV","CARNAVALE RESOURCES LIMITED","Materials","15/03/2007",6833879
"CAY","CANYON RESOURCES LIMITED","Materials","15/06/2010",54851391
"CAZ","CAZALY RESOURCES LIMITED","Materials","31/10/2003",9667367
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","Banks","12/09/1991",168302736866
"CBE","COBRE LIMITED","Materials","31/01/2020",24174067
"CBH","COOLABAH METALS LIMITED","Materials","28/07/2022",5539500
"CBL","CONTROL BIONICS LIMITED","Health Care Equipment & Services","07/12/2020",8324071
"CBO","COBRAM ESTATE OLIVES LIMITED","Food, Beverage & Tobacco","11/08/2021",561293805
"CBR","CARBON REVOLUTION LIMITED","Automobiles & Components","29/11/2019",26398207
"CBY","CANTERBURY RESOURCES LIMITED","Materials","07/03/2019",4913800
"CCA","CHANGE FINANCIAL LIMITED","Financial Services","30/06/2016",26361778
"CCE","CARNEGIE CLEAN ENERGY LIMITED","Utilities","26/10/1993",15642574
"CCG","COMMS GROUP LTD","Telecommunication Services","21/12/2017",23270211
"CCO","THE CALMER CO INTERNATIONAL LIMITED","Household & Personal Products","20/12/2018",1356153
"CCP","CREDIT CORP GROUP LIMITED","Financial Services","04/09/2000",1147607192
"CCR","CREDIT CLEAR LIMITED","Software & Services","27/10/2020",83687443
"CCV","CASH CONVERTERS INTERNATIONAL","Financial Services","07/02/1997",144335353
"CCX","CITY CHIC COLLECTIVE LIMITED","Consumer Discretionary Distribution & Retail","28/05/1998",92153824
"CCZ","CASTILLO COPPER LIMITED","Materials","14/12/2010",12995054
"CD1","CD PRIVATE EQUITY FUND I","Not Applic","14/08/2012",30702991
"CD2","CD PRIVATE EQUITY FUND II","Not Applic","09/04/2013",62712508
"CD3","CD PRIVATE EQUITY FUND III","Not Applic","27/07/2016",111283909
"CDA","CODAN LIMITED","Technology Hardware & Equipment","27/11/2003",1329773810
"CDD","CARDNO LIMITED","Commercial & Professional Services","20/05/2004",15428962
"CDM","CADENCE CAPITAL LIMITED","Not Applic","05/12/2006",235247623
"CDO","CADENCE OPPORTUNITIES FUND LIMITED.","Not Applic","19/11/2021",31375638
"CDP","CARINDALE PROPERTY TRUST","Equity Real Estate Investment Trusts (REITs)","28/11/1996",324837985
"CDR","CODRUS MINERALS LIMITED","Materials","23/06/2021",12445951
"CDT","CASTLE MINERALS LIMITED","Materials","02/05/2006",16867395
"CDX","CARDIEX LIMITED","Health Care Equipment & Services","09/11/2005",33714397
"CE1","CALIMA ENERGY LIMITED","Energy","28/07/2006",64338831
"CEL","CHALLENGER EXPLORATION LIMITED","Materials","07/11/2007",188130223
"CEN","CONTACT ENERGY LIMITED","Utilities","24/09/2015",6036368961
"CF1","COMPLII FINTECH SOLUTIONS LTD","Software & Services","18/12/2001",23628181
"CFO","CFOAM LIMITED","Capital Goods","26/10/2016","SUSPENDED"
"CG1","CARBONXT GROUP LIMITED","Materials","23/01/2018",24226301
"CGB","CANN GLOBAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","14/01/2008","SUSPENDED"
"CGC","COSTA GROUP HOLDINGS LIMITED","Food, Beverage & Tobacco","24/07/2015",1157127385
"CGF","CHALLENGER LIMITED","Financial Services","23/12/2003","--"
"CGN","CRATER GOLD MINING LIMITED","Materials","01/11/2002","SUSPENDED"
"CGO","CPT GLOBAL LIMITED","Software & Services","08/09/2000",9217420
"CGS","COGSTATE LTD","Health Care Equipment & Services","13/02/2004",279400479
"CHC","CHARTER HALL GROUP","Equity Real Estate Investment Trusts (REITs)","10/06/2005",5500957424
"CHK","COHIBA MINERALS LIMITED","Materials","01/02/2012",9066221
"CHL","CAMPLIFY HOLDINGS LIMITED","Transportation","28/06/2021",142933398
"CHM","CHIMERIC THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/01/2021",17046681
"CHN","CHALICE MINING LIMITED","Materials","24/03/2006",2829780841
"CHR","CHARGER METALS NL","Materials","09/07/2021",37268621
"CHZ","CHESSER RESOURCES LIMITED","Materials","29/05/2007",70632162
"CI1","CREDIT INTELLIGENCE LTD","Commercial & Professional Services","10/07/2008",13777361
"CIA","CHAMPION IRON LIMITED","Materials","08/06/2007",3310036006
"CII","CI RESOURCES LIMITED","Materials","24/07/1987","--"
"CIN","CARLTON INVESTMENTS LIMITED","Not Applic","30/06/1970",749233303
"CIO",,"Technology Hardware & Equipment","16/08/1984",
"CIP","CENTURIA INDUSTRIAL REIT","Equity Real Estate Investment Trusts (REITs)","13/12/2012",2025428726
"CIW","CLIME INVESTMENT MANAGEMENT LTD","Financial Services","15/12/2000",27897202
"CKA","COKAL LIMITED","Materials","17/04/2000",151052857
"CKF","COLLINS FOODS LIMITED","Consumer Services","04/08/2011",1046517342
"CL8","CARLY HOLDINGS LIMITED","Transportation","09/09/1996",6744223
"CLA","CELSIUS RESOURCES LIMITED.","Materials","24/03/1988",53065240
"CLB","CANDY CLUB HOLDINGS LIMITED","Consumer Staples Distribution & Retail","19/02/2019","SUSPENDED"
"CLE","CYCLONE METALS LIMITED","Materials","07/06/2001",13633872
"CLG","CLOSE THE LOOP LTD.","Commercial & Professional Services","02/12/2021",190658730
"CLT","CELLNET GROUP LIMITED","Technology Hardware & Equipment","17/11/1999",6333460
"CLU","CLUEY LTD","Consumer Services","09/12/2020",26209764
"CLV","CLOVER CORPORATION LIMITED","Materials","30/11/1999",227119104
"CLW","CHARTER HALL LONG WALE REIT","Equity Real Estate Investment Trusts (REITs)","08/11/2016",3137626722
"CLX","CTI LOGISTICS LIMITED","Transportation","02/12/1987",132817934
"CLZ","CLASSIC MINERALS LTD","Materials","24/05/2013",5761929
"CMD","CASSIUS MINING LIMITED","Materials","10/08/2006",8169858
"CMG","CRITICAL MINERALS GROUP LIMITED","Materials","27/09/2022",8154800
"CMM","CAPRICORN METALS LTD","Materials","07/07/2008",1571505172
"CMO","COSMO METALS LIMITED","Materials","31/01/2022",6061200
"CMP","COMPUMEDICS LIMITED","Health Care Equipment & Services","21/12/2000",26574442
"CMW","CROMWELL PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","22/02/1973",1492754018
"CMX","CHEMX MATERIALS LIMITED","Materials","18/01/2022",12060327
"CNB","CARNABY RESOURCES LIMITED","Materials","30/08/2016",203378193
"CNI","CENTURIA CAPITAL GROUP","Equity Real Estate Investment Trusts (REITs)","26/03/2002",1415640325
"CNJ","CONICO LTD","Materials","18/06/2007",12560760
"CNQ","CLEAN TEQ WATER LIMITED","Commercial & Professional Services","02/07/2021",15581780
"CNU","CHORUS LIMITED","Telecommunication Services","21/11/2011",3441796649
"CNW","CIRRUS NETWORKS HOLDINGS LIMITED","Software & Services","10/02/2004",31620217
"COB","COBALT BLUE HOLDINGS LIMITED","Materials","02/02/2017",88813807
"COD","CODA MINERALS LTD","Materials","28/10/2020",37576404
"COE","COOPER ENERGY LIMITED","Energy","13/03/2002",407887345
"COF","CENTURIA OFFICE REIT","Equity Real Estate Investment Trusts (REITs)","10/12/2014",842245073
"COG","COG FINANCIAL SERVICES LIMITED","Financial Services","28/01/2003",266927081
"COH","COCHLEAR LIMITED","Health Care Equipment & Services","04/12/1995",16298981309
"COI","COMET RIDGE LIMITED","Energy","16/04/2004",161659694
"COL","COLES GROUP LIMITED.","Consumer Staples Distribution & Retail","21/11/2018",24345342003
"COO","CORUM GROUP LIMITED","Software & Services","28/07/1971",25090035
"COS","COSOL LIMITED","Software & Services","24/01/2020",115481124
"COY","COPPERMOLY LIMITED","Materials","31/01/2008",3395095
"CPH","CRESO PHARMA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/10/2016",31024030
"CPM","COOPER METALS LIMITED","Materials","19/11/2021",13411239
"CPN","CASPIN RESOURCES LIMITED","Materials","25/11/2020",27488685
"CPO","CULPEO MINERALS LIMITED","Materials","10/09/2021",5425689
"CPT","CIPHERPOINT LIMITED","Software & Services","03/01/2007",8455839
"CPU","COMPUTERSHARE LIMITED.","Commercial & Professional Services","27/05/1994",13324306446
"CPV","CLEARVUE TECHNOLOGIES LIMITED","Capital Goods","25/05/2018",42326964
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","Equity Real Estate Investment Trusts (REITs)","22/05/2003",1075693290
"CQR","CHARTER HALL RETAIL REIT","Equity Real Estate Investment Trusts (REITs)","15/11/1995",2202860218
"CR1","CONSTELLATION RESOURCES LIMITED","Materials","30/07/2018",5988651
"CR9","CORELLA RESOURCES LTD","Materials","15/01/2008",12557454
"CRB","CARBINE RESOURCES LIMITED","Materials","16/03/2007",5277492
"CRD","CONRAD ASIA ENERGY LTD.","Energy","27/10/2022",272572273
"CRL","COMET RESOURCES LIMITED","Materials","02/03/1994","SUSPENDED"
"CRM","CARBON MINERALS LIMITED","Energy","31/12/1980","SUSPENDED"
"CRN","CORONADO GLOBAL RESOURCES INC.","Materials","23/10/2018",2439240177
"CRR","CRITICAL RESOURCES LIMITED","Materials","03/12/2010",78142989
"CRS","CAPRICE RESOURCES LTD","Materials","05/12/2018",6071360
"CSE","COPPER STRIKE LIMITED","Materials","24/11/2004","SUSPENDED"
"CSF","CATALANO SEAFOOD LTD","Food, Beverage & Tobacco","11/03/2022",5208060
"CSL","CSL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","08/06/1994",146857321511
"CSR","CSR LIMITED","Materials","31/03/1962",2573097534
"CSS","CLEAN SEAS SEAFOOD LIMITED","Food, Beverage & Tobacco","12/12/2005",81917308
"CST","CASTILE RESOURCES LTD","Materials","14/02/2020",24190243
"CSX","CLEANSPACE HOLDINGS LIMITED","Health Care Equipment & Services","23/10/2020",20410174
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","Technology Hardware & Equipment","08/10/1987",5884801
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","Consumer Services","15/12/2010",3119664905
"CTE","CRYOSITE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/05/2002",36119077
"CTM","CENTAURUS METALS LIMITED","Materials","12/01/1989",316058642
"CTN","CATALINA RESOURCES LTD","Materials","18/02/2010",4953948
"CTO","CITIGOLD CORPORATION LIMITED","Materials","23/12/1993",14368295
"CTP","CENTRAL PETROLEUM LIMITED","Energy","07/03/2006",52506752
"CTQ","CARETEQ LIMITED","Health Care Equipment & Services","10/01/2022",6425429
"CTT","CETTIRE LIMITED","Consumer Discretionary Distribution & Retail","18/12/2020",873035524
"CTV","COLORTV LIMITED","Media & Entertainment","14/12/2017","SUSPENDED"
"CU6","CLARITY PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","25/08/2021",180963269
"CUE","CUE ENERGY RESOURCES LIMITED","Energy","11/12/1995",43283423
"CUF","CUFE LTD","Materials","13/10/2005",11593348
"CUL","CULLEN RESOURCES LIMITED","Materials","23/11/1988",5042909
"CUP","COUNT LIMITED","Commercial & Professional Services","22/12/2010",63393520
"CUS","COPPER SEARCH LIMITED","Materials","15/09/2021",26370541
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","13/02/2001",910632529
"CVC","CVC LIMITED","Financial Services","27/06/1985",233648188
"CVL","CIVMEC LIMITED","Capital Goods","22/06/2018",373797680
"CVN","CARNARVON ENERGY LIMITED","Energy","16/08/1984",207021494
"CVR","CAVALIER RESOURCES LIMITED","Materials","17/06/2022",5856525
"CVV","CARAVEL MINERALS LIMITED","Materials","03/11/2006",129379781
"CVW","CLEARVIEW WEALTH LIMITED","Insurance","11/12/2003",320603744
"CWP","CEDAR WOODS PROPERTIES LIMITED","Real Estate Management & Development","31/08/1994",402006592
"CWX","CARAWINE RESOURCES LIMITED","Materials","14/12/2017",19681747
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","Commercial & Professional Services","03/05/2005",5743707224
"CXL","CALIX LIMITED","Materials","20/07/2018",838429199
"CXM","CENTREX LIMITED","Materials","19/07/2006",92173804
"CXO","CORE LITHIUM LTD","Materials","11/02/2011",2090831393
"CXU","CAULDRON ENERGY LIMITED","Energy","28/01/2005",5589412
"CXX","CRADLE RESOURCES LIMITED","Materials","16/09/2011","SUSPENDED"
"CXZ","CONNEXION TELEMATICS LTD","Software & Services","01/01/1974",18206944
"CY5","CYGNUS METALS LIMITED","Materials","15/01/2018",51393771
"CYC","CYCLOPHARM LIMITED","Health Care Equipment & Services","18/01/2007",200724138
"CYG","COVENTRY GROUP LIMITED","Capital Goods","27/01/1966",91432318
"CYL","CATALYST METALS LIMITED","Materials","26/07/2006",138001010
"CYM","CYPRIUM METALS LIMITED","Materials","26/04/1985","SUSPENDED"
"CYP","CYNATA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/12/2007",26848664
"CYQ","CYCLIQ GROUP LTD","Consumer Durables & Apparel","21/11/2007",1737583
"CZN","CORAZON MINING LIMITED","Materials","30/06/2005",12206611
"CZR","CZR RESOURCES LTD","Materials","29/08/2006",42432236
"D2O","DUXTON WATER LIMITED","Utilities","16/09/2016",196974519
"DAF","DISCOVERY ALASKA LIMITED","Materials","22/09/2011",9603623
"DAL","DALAROO METALS LTD","Materials","28/09/2021",3024000
"DBF","DUXTON FARMS LTD","Food, Beverage & Tobacco","08/02/2018",58227219
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","Transportation","08/12/2020",1264192251
"DBO","DIABLO RESOURCES LIMITED","Materials","12/10/2021",2831000
"DC2","DC TWO LIMITED","Software & Services","10/11/2020",2351059
"DCC","DIGITALX LIMITED","Software & Services","06/02/1989",31311800
"DCG","DECMIL GROUP LIMITED","Capital Goods","22/04/2005",27221638
"DCL","DOMACOM LIMITED","Financial Services","07/11/2016",13065053
"DCN","DACIAN GOLD LIMITED","Materials","14/11/2012",103428080
"DCX","DISCOVEX RESOURCES LIMITED","Materials","13/12/2007",8256420
"DDB","DYNAMIC GROUP HOLDINGS LIMITED","Capital Goods","06/08/2020",33638239
"DDH","DDH1 LIMITED","Materials","09/03/2021",342960851
"DDR","DICKER DATA LIMITED","Technology Hardware & Equipment","24/01/2011",1583117702
"DDT","DATADOT TECHNOLOGY LIMITED","Automobiles & Components","12/01/2005",3632858
"DEG","DE GREY MINING LIMITED","Materials","03/07/2002",2130992839
"DEL","DELOREAN CORPORATION LIMITED","Utilities","12/04/2021",6903069
"DEM","DE.MEM LIMITED","Utilities","07/04/2017",36776615
"DES","DESOTO RESOURCES LIMITED","Materials","16/12/2022",9784500
"DEV","DEVEX RESOURCES LIMITED","Energy","03/10/2000",133480287
"DEX","DUKE EXPLORATION LIMITED","Materials","10/11/2020","SUSPENDED"
"DGH","DESANE GROUP HOLDINGS LIMITED","Real Estate Management & Development","04/09/1987",39273590
"DGL","DGL GROUP LIMITED","Materials","24/05/2021",377507347
"DGR","DGR GLOBAL LIMITED","Materials","21/08/2003",40704046
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","Media & Entertainment","16/11/2017",2160267463
"DJW","DJERRIWARRH INVESTMENTS LIMITED","Not Applic","28/06/1995",745173645
"DKM","DUKETON MINING LIMITED","Materials","04/08/2014",48836092
"DLI","DELTA LITHIUM LIMITED","Materials","03/11/2017",315644576
"DLM","DOMINION MINERALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","19/03/2004",8356469
"DLT","DELTA DRONE INTERNATIONAL LIMITED","Technology Hardware & Equipment","18/06/2018",5172038
"DM1","DESERT METALS LIMITED","Materials","18/12/2020",6093451
"DMC","DESIGN MILK CO LIMITED","Media & Entertainment","24/03/1997","SUSPENDED"
"DME","DOME GOLD MINES LIMITED","Materials","22/10/2013",65344615
"DMG","DRAGON MOUNTAIN GOLD LIMITED","Materials","31/07/2007",4341388
"DMM","DMC MINING LIMITED.","Materials","22/12/2021",3059100
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","Consumer Services","16/05/2005",4379684162
"DNA","DONACO INTERNATIONAL LIMITED","Consumer Services","23/12/2004",51886354
"DNK","DANAKALI LIMITED","Materials","17/10/2003","--"
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","Health Care Equipment & Services","04/12/2020",18337092
"DOR","DORIEMUS PLC","Energy","29/09/2017","SUSPENDED"
"DOU","DOUUGH LIMITED","Telecommunication Services","15/06/2004",7871187
"DOW","DOWNER EDI LIMITED","Commercial & Professional Services","20/12/1990",2471391139
"DRA","DRA GLOBAL LIMITED","Capital Goods","09/07/2021",108871524
"DRE","DREADNOUGHT RESOURCES LTD","Materials","31/10/2006",192138237
"DRO","DRONESHIELD LIMITED","Capital Goods","22/06/2016",173438940
"DRR","DETERRA ROYALTIES LIMITED","Materials","23/10/2020",2399572086
"DRX","DIATREME RESOURCES LIMITED","Materials","22/06/2005",108163015
"DSE","DROPSUITE LIMITED","Software & Services","12/12/1985",196619246
"DSK","DUSK GROUP LIMITED","Consumer Discretionary Distribution & Retail","02/11/2020",76589474
"DTC","DAMSTRA HOLDINGS LIMITED","Software & Services","16/10/2019",19327229
"DTI","DTI GROUP LTD","Technology Hardware & Equipment","09/12/2014",7176823
"DTL","DATA#3 LIMITED","Software & Services","23/12/1997",1125482060
"DTM","DART MINING NL","Materials","10/05/2007",9992659
"DTR","DATELINE RESOURCES LIMITED","Materials","23/06/2011",12013113
"DTZ","DOTZ NANO LIMITED","Technology Hardware & Equipment","13/12/2007",108424057
"DUB","DUBBER CORPORATION LIMITED","Software & Services","30/06/2000",52623121
"DUG","DUG TECHNOLOGY LTD","Software & Services","12/08/2020",116942152
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","Not Applic","19/12/1991",1085794265
"DUN","DUNDAS MINERALS LIMITED","Materials","10/11/2021",8266669
"DUR","DURATEC LIMITED","Capital Goods","04/11/2020",226939099
"DVL","DORSAVI LTD","Pharmaceuticals, Biotechnology & Life Sciences","11/12/2013",6633851
"DVP","DEVELOP GLOBAL LIMITED","Materials","27/04/2007",624609355
"DVR","DIVERGER LIMITED","Financial Services","02/08/2005",30516023
"DXB","DIMERIX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/02/1993",23102904
"DXC","DEXUS CONVENIENCE RETAIL REIT","Equity Real Estate Investment Trusts (REITs)","27/07/2017",352656801
"DXI","DEXUS INDUSTRIA REIT.","Equity Real Estate Investment Trusts (REITs)","03/12/2013",910564647
"DXN","DXN LIMITED","Software & Services","11/04/2018",3442630
"DXS","DEXUS","Equity Real Estate Investment Trusts (REITs)","06/10/2004",8722834145
"DYL","DEEP YELLOW LIMITED","Energy","19/12/1985",472327554
"DYM","DYNAMIC METALS LIMITED","Materials","16/01/2023",11266550
"E25","ELEMENT 25 LIMITED","Materials","09/11/2006",125703843
"E33","EAST 33 LIMITED..","Food, Beverage & Tobacco","29/07/2021",12977217
"E79","E79 GOLD MINES LIMITED","Materials","07/10/2021",6402073
"EAI","ELLERSTON ASIAN INVESTMENTS LIMITED","Not Applic","15/09/2015",96851088
"EAX","ENERGY ACTION LIMITED","Commercial & Professional Services","13/10/2011",5262777
"EBG","EUMUNDI GROUP LIMITED","Consumer Services","07/12/1989",50012481
"EBO","EBOS GROUP LIMITED","Health Care Equipment & Services","06/12/2013",7780841563
"EBR","EBR SYSTEMS INC.","Health Care Equipment & Services","24/11/2021",245108962
"ECF","ELANOR COMMERCIAL PROPERTY FUND","Equity Real Estate Investment Trusts (REITs)","06/12/2019",278569591
"ECG","ECARGO HOLDINGS LIMITED","Commercial & Professional Services","28/11/2014",15381250
"ECL","EXCELSIOR CAPITAL LTD","Capital Goods","22/04/1993",65527500
"ECP","ECP EMERGING GROWTH LIMITED","Not Applic","14/08/2014",19806215
"ECS","ECS BOTANICS HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","13/03/1986",21027883
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","Commercial & Professional Services","05/02/1986",24766106
"EDC","EILDON CAPITAL GROUP","Financial Services","28/02/2017",44169977
"EDE","EDEN INNOVATIONS LTD","Energy","06/06/2006",11987778
"EDU","EDU HOLDINGS LIMITED","Consumer Services","25/06/2004",28086455
"EDV","ENDEAVOUR GROUP LIMITED","Consumer Staples Distribution & Retail","24/06/2021",11354813308
"EEG","EMPIRE ENERGY GROUP LIMITED","Energy","30/08/1984",123699384
"EEL","ENRG ELEMENTS LTD","Materials","01/07/2011",19175451
"EFE","EASTERN RESOURCES LIMITED","Materials","16/05/2008",13661411
"EG1","EVERGREEN LITHIUM LIMITED","Materials","11/04/2023",79674452
"EGG","ENERO GROUP LIMITED","Media & Entertainment","30/04/2004",157624636
"EGH","EUREKA GROUP HOLDINGS LIMITED","Real Estate Management & Development","01/07/2004",141499825
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","Capital Goods","12/02/1981",74347135
"EGN","ENGENCO LIMITED","Capital Goods","14/12/2006",104164584
"EGR","ECOGRAF LIMITED","Materials","29/10/2010",72053353
"EGY","ENERGY TECHNOLOGIES LIMITED","Capital Goods","22/10/1992",16545332
"EHE","ESTIA HEALTH LIMITED","Health Care Equipment & Services","05/12/2014",663987857
"EHL","EMECO HOLDINGS LIMITED","Capital Goods","28/07/2006",345136739
"EIQ","ECHOIQ LIMITED","Software & Services","17/12/2010",68655656
"EL8","ELEVATE URANIUM LTD","Energy","23/10/1985",85403672
"ELD","ELDERS LIMITED","Food, Beverage & Tobacco","30/06/1981",1095336018
"ELE","ELMORE LTD","Materials","25/02/1998",18191990
"ELS","ELSIGHT LIMITED","Technology Hardware & Equipment","08/06/2017",44344276
"ELT","ELEMENTOS LIMITED","Materials","23/12/2009",27488146
"EM2","EAGLE MOUNTAIN MINING LIMITED","Materials","16/03/2018",32021521
"EMB","EMBELTON LIMITED","Capital Goods","01/01/1974",22225927
"EMC","EVEREST METALS CORPORATION LTD","Energy","18/10/2006",11390114
"EMD","EMYRIA LIMITED","Health Care Equipment & Services","12/02/2020",38543664
"EME","ENERGY METALS LTD","Energy","09/09/2005",23065164
"EMH","EUROPEAN METALS HOLDINGS LIMITED","Materials","19/07/2012",122164787
"EML","EML PAYMENTS LIMITED","Financial Services","18/01/2006",254309208
"EMN","EURO MANGANESE INC","Materials","02/10/2018",86573884
"EMP","EMPEROR ENERGY LIMITED","Energy","05/06/1987",3495212
"EMR","EMERALD RESOURCES NL","Materials","22/07/1994",1140166979
"EMS","EASTERN METALS LIMITED","Materials","25/10/2021",2637640
"EMT","EMETALS LIMITED","Not Applic","26/10/2010",7650000
"EMU","EMU NL","Materials","27/02/2008",3625053
"EMUCA","EMU NL","Materials","27/02/2008",3625053
